"","ID","R1","R2","target","condition","freq1","word1","word2","reuse","switch","first","second"
"84","105","0","0","bolígrafo","MA",4,"cama","pluma","0","yes","in","out"
"85","105","1","1","bombilla","MA",1,"bombilla","bombilla","1","yes","in","out"
"86","105","0","0","cigarrillo","MA",0,"cigarro","cigarro","1","yes","in","out"
"87","105","1","1","emparedado","MA",0,"emparedado","emparedado","1","yes","in","out"
"88","105","0","0","gafas","MA",0,"lentes","lentes","1","yes","in","out"
"89","105","1","1","liebre","MA",0,"liebre","liebre","1","yes","in","out"
"90","105","1","1","maní","MA",0,"maní","maní","1","yes","in","out"
"91","105","0","1","médico","MA",15,"doctor","médico","0","yes","in","out"
"92","105","1","1","melocotón","MA",0,"melocotón","melocotón","1","yes","in","out"
"93","105","0","0","motocicleta","MA",20,"moto","moto","1","yes","in","out"
"94","105","0","1","móvil","MA",0,"telefono","móvil","0","yes","in","out"
"95","105","1","1","patata","MA",0,"patata","patata","1","yes","in","out"
"96","105","0","1","pelota","MA",19,"balon","pelota","0","yes","in","out"
"97","105","0","0","roedor","MA",0,"raton","raton","1","yes","in","out"
"98","105","1","1","sapo","MA",10,"sapo","sapo","1","yes","in","out"
"99","105","1","1","sudadera","MA",0,"sudadera","sudadera","1","yes","in","out"
"100","105","0","0","templo","MA",0,"iglesia","iglesia","1","yes","in","out"
"101","108","0","0","arma","MA",0,"revólver","revólver","1","yes","in","out"
"102","108","1","1","bañera","MA",19,"bañera","bañera","1","yes","in","out"
"103","108","0","0","barriga","MA",0,"panza","panza","1","yes","in","out"
"104","108","1","0","bolígrafo","MA",4,"bolígrafo","pluma","0","yes","in","out"
"105","108","1","1","bombilla","MA",1,"bombilla","bombilla","1","yes","in","out"
"106","108","0","0","cigarrillo","MA",0,"cigarro","cigarro","1","yes","in","out"
"107","108","0","0","emparedado","MA",0,"sándwich","sándwich","1","yes","in","out"
"108","108","0","0","gafas","MA",0,"lentes","lentes","1","yes","in","out"
"109","108","0","0","liebre","MA",0,"conejo","conejo","1","yes","in","out"
"110","108","0","0","maní","MA",0,"cacahuate","cacahuate","1","yes","in","out"
"111","108","0","1","médico","MA",15,"doctor","médico","0","yes","in","out"
"112","108","1","1","melocotón","MA",0,"melocotón","melocotón","1","yes","in","out"
"113","108","0","1","motocicleta","MA",20,"moto","motocicleta","0","yes","in","out"
"114","108","1","1","móvil","MA",0,"móvil","móvil","1","yes","in","out"
"115","108","1","1","patata","MA",0,"patata","patata","1","yes","in","out"
"116","108","0","0","pelota","MA",19,"balón","balón","1","yes","in","out"
"117","108","0","0","roedor","MA",0,"ratón","ratón","1","yes","in","out"
"118","108","1","1","sapo","MA",10,"sapo","sapo","1","yes","in","out"
"119","108","0","0","sudadera","MA",0,"suéter","suéter","1","yes","in","out"
"120","108","0",NA,"templo","MA",0,"iglesia","iglesia","1","yes","in","out"
