"","ID","aligncode","round1","target","condition","freq1","word","age","languages","partner"
"96",119,"1","1","freson","SS",0,"freson",24,2,"in"
"97",119,"1","1","cuchillo","SS",20,"cuchillo",24,2,"in"
"98",119,"1","1","ferrocarril","SS",0,"ferrocarril",24,2,"in"
"99",119,"1","1","cabello","SS",7,"cabello",24,2,"in"
"100",119,"1","1","birra","SS",7,"birra",24,2,"in"
"101",119,"1","1","banana","SS",10,"banana",24,2,"in"
"102",119,"1","1","barra de labios","SS",0,"barra de labios",24,2,"in"
"103",119,"1","1","asno","SS",7,"asno",24,2,"in"
"104",119,"1","1","alfombrilla","SS",17,"alfombrilla",24,2,"in"
"105",119,"1","1","cuberteria","SS",13,"cuberteria",24,2,"in"
"106",120,"1","1","tripa","SS",7,"tripa",42,2,"in"
"107",120,"0","1","sapo","SS",3,"rana",42,2,"in"
"108",120,"0","1","ropa interior","SS",0,"braguitas",42,2,"in"
"109",120,"0","1","papa","SS",7,"patata",42,2,"in"
"110",120,"0","1","motocicleta","SS",0,"moto",42,2,"in"
"111",120,"0","1","pintura","SS",0,"cuadro",42,2,"in"
"112",120,"0","1","lentes","SS",0,"gafas",42,2,"in"
"113",120,"0","1","roedor","SS",0,"rat¢n",42,2,"in"
"114",120,"0","1","instrumento musical","SS",0,"acorde¢n",42,2,"in"
"115",120,"0","1","guardarropa","SS",0,"armario",42,2,"in"
"116",120,"0","1","freson","SS",0,"fresa",42,2,"in"
"117",120,"1","1","cuchillo","SS",20,"cuchillo",42,2,"in"
"118",120,"0","1","ferrocarril","SS",0,"tren",42,2,"in"
"119",120,"1","1","cuberteria","SS",13,"cuberteria",42,2,"in"
"120",120,"0","1","cabello","SS",7,"cabellera",42,2,"in"
"121",120,"0","1","birra","SS",7,"cerveza",42,2,"in"
"122",120,"0","1","banana","SS",10,"pl tano",42,2,"in"
"123",120,"0","1","barra de labios","SS",0,"pintalabios",42,2,"in"
"124",120,"0","1","asno","SS",7,"burro",42,2,"in"
"125",120,"0","1","alfombrilla","SS",17,"felpudo",42,2,"in"
"126",120,"0","1","nino","SS",3,"beb‚",42,2,"in"
"127",121,"1","1","sapo","SS",3,"sapo",19,2,"in"
"128",121,"1","1","tripa","SS",7,"tripa",19,2,"in"
"129",121,"0","1","papa","SS",7,"",19,2,"in"
"130",121,"1","1","roedor","SS",0,"roedor",19,2,"in"
"131",121,"1","1","motocicleta","SS",0,"motocicleta",19,2,"in"
"132",121,"1","1","pintura","SS",0,"pintura",19,2,"in"
"133",121,"1","1","lentes","SS",0,"lentes",19,2,"in"
"134",121,"1","1","nino","SS",3,"nino",19,2,"in"
"135",121,"0","1","instrumento musical","SS",0,"acorde¢n ",19,2,"in"
"136",121,"1","1","guardarropa","SS",0,"guardarropa",19,2,"in"
"137",121,"1","1","freson","SS",0,"freson",19,2,"in"
"138",121,"1","1","cuchillo","SS",20,"cuchillo",19,2,"in"
"139",121,"0","1","ferrocarril","SS",0,"tren",19,2,"in"
"140",121,"0","1","cuberteria","SS",13,"cobertera",19,2,"in"
"141",121,"1","1","cabello","SS",7,"cabello",19,2,"in"
"142",121,"1","1","birra","SS",7,"birra",19,2,"in"
"143",121,"1","1","banana","SS",10,"banana",19,2,"in"
"144",121,"0","1","barra de labios","SS",0,"labial",19,2,"in"
"145",121,"1","1","asno","SS",7,"asno",19,2,"in"
"146",121,"1","1","alfombrilla","SS",17,"alfombrilla",19,2,"in"
"147",121,"0","1","ropa interior","SS",0,"",19,2,"in"
"148",123,"1","1","sapo","SS",3,"sapo",25,2,"in"
"149",123,"1","1","ropa interior","SS",0,"ropa interior",25,2,"in"
"150",123,"0","1","papa","SS",7,"patata",25,2,"in"
"151",123,"0","1","roedor","SS",0,"raton",25,2,"in"
"152",123,"0","1","motocicleta","SS",0,"moto",25,2,"in"
"153",123,"0","1","pintura","SS",0,"cuadro",25,2,"in"
"154",123,"0","1","lentes","SS",0,"gafas",25,2,"in"
"155",123,"0","1","nino","SS",3,"bebe",25,2,"in"
"156",123,"0","1","instrumento musical","SS",0,"acordeon",25,2,"in"
"157",123,"1","1","guardarropa","SS",0,"guardarropa",25,2,"in"
"158",123,"1","1","freson","SS",0,"freson",25,2,"in"
"159",123,"1","1","cuchillo","SS",20,"cuchillo",25,2,"in"
"160",123,"1","1","ferrocarril","SS",0,"ferrocarril",25,2,"in"
"161",123,"1","1","cuberteria","SS",13,"cuberteria",25,2,"in"
"162",123,"1","1","cabello","SS",7,"cabello",25,2,"in"
"163",123,"1","1","birra","SS",7,"birra",25,2,"in"
"164",123,"1","1","banana","SS",10,"banana",25,2,"in"
"165",123,"1","1","barra de labios","SS",0,"barra de labios",25,2,"in"
