"","ID","aligncode","round1","target","condition","freq1","word","partner"
"120","9","1","1","templo","AA",0,"templo","out"
"121","11","0","1","arma","AA",0,"pistola","out"
"122","11","0","1","bañera","AA",19,"tina","out"
"123","11","0","1","barriga","AA",0,"panza","out"
"124","11","0","1","bolígrafo","AA",4,"pluma","out"
"125","11","0","1","bombilla","AA",1,"foco","out"
"126","11","0","1","cigarrillo","AA",0,"cigarro","out"
"127","11","0","1","emparedado","AA",0,"sandwich","out"
"128","11","0","1","gafas","AA",0,"lentes","out"
"129","11","0","1","liebre","AA",0,"conejo","out"
"130","11","0","1","maní","AA",0,"cacahuate","out"
"131","11","0","1","médico","AA",15,"doctor","out"
"132","11","0","1","melocotón","AA",0,"durazno","out"
"133","11","0","1","motocicleta","AA",20,"moto","out"
"134","11","0","1","móvil","AA",0,"celular","out"
"135","11","0","1","patata","AA",0,"papa","out"
"136","11","0","1","pelota","AA",19,"balon","out"
"137","11","0","1","roedor","AA",0,"raton","out"
"138","11","1","1","sapo","AA",10,"sapo","out"
"139","11","0","1","sudadera","AA",0,"sueter","out"
"140","11","0","1","templo","AA",0,"iglesia","out"
"141","12","1","1","arma","AA",0,"arma","out"
"142","12","1","1","bañera","AA",19,"bañera","out"
"143","12","1","1","barriga","AA",0,"barriga","out"
"144","12","1","1","bolígrafo","AA",4,"bolígrafo","out"
"145","12","1","1","bombilla","AA",1,"bombilla","out"
"146","12","1","1","cigarrillo","AA",0,"cigarrillo","out"
"147","12","1","1","emparedado","AA",0,"emparedado","out"
"148","12","0","1","gafas","AA",0,"lentes","out"
"149","12","1","1","liebre","AA",0,"liebre","out"
"150","12","1","1","maní","AA",0,"maní","out"
"151","12","1","1","médico","AA",15,"médico","out"
"152","12","1","1","melocotón","AA",0,"melocotón","out"
"153","12","1","1","motocicleta","AA",20,"motocicleta","out"
"154","12","0","1","móvil","AA",0,"celular","out"
"155","12",NA,"1","patata","AA",0,"césped","out"
"156","12","1","1","pelota","AA",19,"pelota","out"
"157","12","0","1","roedor","AA",0,"ratón","out"
"158","12",NA,"1","sapo","AA",10,"acordeon","out"
"159","12","1","1","sudadera","AA",0,"sudadera","out"
"160","12","0","1","templo","AA",0,"iglesia","out"
"161","16","1","1","arma","AA",0,"arma","out"
"162","16","1","1","bañera","AA",19,"bañera","out"
"163","16","1","1","barriga","AA",0,"barriga","out"
"164","16","1","1","bolígrafo","AA",4,"bolígrafo","out"
"165","16","1","1","bombilla","AA",1,"bombilla","out"
"166","16","1","1","cigarrillo","AA",0,"cigarrillo","out"
"167","16","1","1","emparedado","AA",0,"emparedado","out"
"168","16","1","1","gafas","AA",0,"gafas","out"
"169","16","1","1","liebre","AA",0,"liebre","out"
"170","16","1","1","maní","AA",0,"maní","out"
"171","16","1","1","médico","AA",15,"médico","out"
"172","16","1","1","melocotón","AA",0,"melocotón","out"
"173","16","0","1","motocicleta","AA",20,"moto","out"
"174","16","1","1","móvil","AA",0,"móvil","out"
"175","16","1","1","patata","AA",0,"patata","out"
"176","16","1","1","pelota","AA",19,"pelota","out"
"177","16","1","1","roedor","AA",0,"roedor","out"
"178","16","1","1","sapo","AA",10,"sapo","out"
"179","16","1","1","sudadera","AA",0,"sudadera","out"
"180","16","1","1","templo","AA",0,"templo","out"
"181","18","0","1","arma","AA",0,"pistola","out"
"182","18","1","1","bañera","AA",19,"bañera","out"
"183","18","1","1","barriga","AA",0,"barriga","out"
"184","18",NA,"1","bolígrafo","AA",4,"césped","out"
"185","18","1","1","bombilla","AA",1,"bombilla","out"
"186","18","1","1","cigarrillo","AA",0,"cigarrillo","out"
"187","18","0","1","emparedado","AA",0,"sandwich","out"
"188","18","0","1","gafas","AA",0,"lentes","out"
"189","18","1","1","liebre","AA",0,"liebre","out"
"190","18","0","1","maní","AA",0,"cacahuate","out"
"191","18","0","1","médico","AA",15,"doctor","out"
"192","18","1","1","melocotón","AA",0,"melocotón","out"
"193","18","1","1","motocicleta","AA",20,"motocicleta","out"
"194","18","1","1","móvil","AA",0,"móvil","out"
"195","18","0","1","patata","AA",0,"papa","out"
"196","18","1","1","pelota","AA",19,"pelota","out"
"197","18","0","1","roedor","AA",0,"raton","out"
"198","18","1","1","sapo","AA",10,"sapo","out"
"199","18","1","1","sudadera","AA",0,"sudadera","out"
"200","18","1","1","templo","AA",0,"templo","out"
"201","19","1","1","arma","AA",0,"arma","out"
"202","19","1","1","bañera","AA",19,"bañera","out"
"203","19","1","1","barriga","AA",0,"barriga","out"
"204","19","1","1","bolígrafo","AA",4,"bolígrafo","out"
"205","19","1","1","bombilla","AA",1,"bombilla","out"
"206","19","1","1","cigarrillo","AA",0,"cigarrillo","out"
"207","19","1","1","emparedado","AA",0,"emparedado","out"
"208","19","1","1","gafas","AA",0,"gafas","out"
"209","19","1","1","liebre","AA",0,"liebre","out"
"210","19","1","1","maní","AA",0,"maní","out"
"211","19","1","1","médico","AA",15,"médico","out"
"212","19","1","1","melocotón","AA",0,"melocotón","out"
"213","19","1","1","motocicleta","AA",20,"motocicleta","out"
"214","19","1","1","móvil","AA",0,"móvil","out"
"215","19","1","1","patata","AA",0,"patata","out"
"216","19","1","1","pelota","AA",19,"pelota","out"
"217","19","1","1","roedor","AA",0,"roedor","out"
"218","19","1","1","sapo","AA",10,"sapo","out"
"219","19","1","1","sudadera","AA",0,"sudadera","out"
"220","19","1","1","templo","AA",0,"templo","out"
"221","21","1","1","arma","AA",0,"arma","out"
"222","21","1","1","bañera","AA",19,"bañera","out"
"223","21","1","1","barriga","AA",0,"barriga","out"
"224","21","1","1","bolígrafo","AA",4,"bolígrafo","out"
