"","ID","R1","R2","target","condition","freq1","word1","word2","reuse","switch","first","second"
"82",118,"0","0","ropa interior","SS",0,"bragas","bragas","1","no","in","in"
"83",118,"1","1","sapo","SS",3,"sapo","sapo","1","no","in","in"
"84",118,"0","0","tripa","SS",7,"barriga","barriga","1","no","in","in"
"85",119,"1","1","alfombrilla","SS",17,"alfombrilla","alfombrilla","1","no","in","in"
"86",119,"1","1","asno","SS",7,"asno","asno","1","no","in","in"
"87",119,"1","1","banana","SS",10,"banana","banana","1","no","in","in"
"88",119,"1","1","barra de labios","SS",0,"barra de labios","barra de labios","1","no","in","in"
"89",119,"1","1","birra","SS",7,"birra","birra","1","no","in","in"
"90",119,"1","1","cabello","SS",7,"cabello","cabello","1","no","in","in"
"91",119,"1","1","cuberteria","SS",13,"cuberteria","cuberteria","1","no","in","in"
"92",119,"1","1","cuchillo","SS",20,"cuchillo","cuchillo","1","no","in","in"
"93",119,"1","1","ferrocarril","SS",0,"ferrocarril","ferrocarril","1","no","in","in"
"94",119,"1","1","freson","SS",0,"freson","freson","1","no","in","in"
"95",119,"1","1","guardarropa","SS",0,"guardarropa","guardarropa","1","no","in","in"
"96",119,"1","1","instrumento musical","SS",0,"instrumento musical","instrumento musical","1","no","in","in"
"97",119,"1","1","lentes","SS",0,"lentes","lentes","1","no","in","in"
"98",119,"1","1","motocicleta","SS",0,"motocicleta","motocicleta","1","no","in","in"
"99",119,"1","1","nino","SS",3,"nino","nino","1","no","in","in"
"100",119,"1","1","papa","SS",7,"papa","papa","1","no","in","in"
"101",119,"1","1","pintura","SS",0,"pintura","pintura","1","no","in","in"
"102",119,"1","1","roedor","SS",0,"roedor","roedor","1","no","in","in"
"103",119,"1","1","ropa interior","SS",0,"ropa interior","ropa interior","1","no","in","in"
"104",119,"1","1","sapo","SS",3,"sapo","sapo","1","no","in","in"
"105",119,"1","1","tripa","SS",7,"tripa","tripa","1","no","in","in"
"106",120,"0","0","alfombrilla","SS",17,"felpudo","felpudo","1","no","in","in"
"107",120,"0","0","asno","SS",7,"burro","burro","1","no","in","in"
"108",120,"0","0","banana","SS",10,"pl tano","pl tano","1","no","in","in"
"109",120,"0","0","barra de labios","SS",0,"pintalabios","pintalabios","1","no","in","in"
"110",120,"0","0","birra","SS",7,"cerveza","cerveza","1","no","in","in"
"111",120,"0","0","cabello","SS",7,"cabellera","cabellera","1","no","in","in"
"112",120,"1","1","cuberteria","SS",13,"cuberteria","cuberteria","1","no","in","in"
