,ID,target,condition,align,reuse,freq1
176,2434,bombilla,AM,0,1,1
177,2435,bombilla,AM,0,1,1
178,2436,bombilla,AM,1,0,1
179,2438,bombilla,AM,0,1,1
180,2440,bombilla,AM,1,0,1
181,2441,bombilla,AM,1,0,1
182,2442,bombilla,AM,1,1,1
183,2443,bombilla,AM,0,1,1
184,2444,bombilla,AM,1,0,1
185,2445,bombilla,AM,0,1,1
186,2447,bombilla,AM,1,0,1
187,2448,bombilla,AM,0,1,1
188,2400,cigarrillo,AM,0,1,0
189,2401,cigarrillo,AM,1,1,0
190,2402,cigarrillo,AM,0,1,0
191,2403,cigarrillo,AM,0,1,0
192,2405,cigarrillo,AM,0,1,0
193,2406,cigarrillo,AM,1,1,0
194,2407,cigarrillo,AM,1,1,0
195,2408,cigarrillo,AM,0,1,0
196,2409,cigarrillo,AM,1,0,0
197,2410,cigarrillo,AM,1,0,0
198,2411,cigarrillo,AM,1,0,0
199,2412,cigarrillo,AM,1,0,0
200,2413,cigarrillo,AM,1,1,0
201,2414,cigarrillo,AM,0,1,0
202,2419,cigarrillo,AM,1,0,0
203,2420,cigarrillo,AM,0,1,0
204,2421,cigarrillo,AM,0,1,0
205,2424,cigarrillo,AM,1,0,0
206,2426,cigarrillo,AM,0,1,0
207,2427,cigarrillo,AM,1,0,0
208,2428,cigarrillo,AM,1,0,0
209,2429,cigarrillo,AM,1,0,0
210,2430,cigarrillo,AM,1,0,0
211,2431,cigarrillo,AM,1,1,0
212,2432,cigarrillo,AM,0,1,0
213,2433,cigarrillo,AM,0,1,0
214,2434,cigarrillo,AM,0,1,0
215,2435,cigarrillo,AM,0,1,0
216,2436,cigarrillo,AM,0,1,0
217,2438,cigarrillo,AM,0,1,0
218,2440,cigarrillo,AM,1,0,0
219,2441,cigarrillo,AM,1,1,0
220,2442,cigarrillo,AM,1,1,0
221,2443,cigarrillo,AM,1,0,0
222,2444,cigarrillo,AM,0,1,0
223,2445,cigarrillo,AM,1,0,0
224,2447,cigarrillo,AM,1,0,0
225,2448,cigarrillo,AM,0,1,0
226,2400,emparedado,AM,1,1,0
227,2401,emparedado,AM,0,1,0
228,2402,emparedado,AM,0,1,0
229,2403,emparedado,AM,1,0,0
230,2405,emparedado,AM,0,1,0
231,2406,emparedado,AM,1,1,0
232,2407,emparedado,AM,1,0,0
233,2408,emparedado,AM,0,1,0
234,2409,emparedado,AM,1,1,0
235,2410,emparedado,AM,0,1,0
236,2411,emparedado,AM,1,0,0
237,2412,emparedado,AM,1,0,0
238,2413,emparedado,AM,0,0,0
239,2414,emparedado,AM,0,0,0
240,2419,emparedado,AM,0,1,0
241,2420,emparedado,AM,0,1,0
242,2421,emparedado,AM,1,0,0
243,2424,emparedado,AM,1,0,0
244,2426,emparedado,AM,0,1,0
245,2427,emparedado,AM,0,1,0
246,2428,emparedado,AM,0,1,0
247,2429,emparedado,AM,1,1,0
248,2430,emparedado,AM,1,0,0
249,2431,emparedado,AM,1,0,0
250,2432,emparedado,AM,0,1,0
251,2433,emparedado,AM,0,1,0
252,2434,emparedado,AM,0,1,0
253,2435,emparedado,AM,0,1,0
254,2436,emparedado,AM,1,1,0
255,2438,emparedado,AM,0,1,0
256,2440,emparedado,AM,1,0,0
257,2441,emparedado,AM,1,1,0
258,2442,emparedado,AM,1,1,0
259,2443,emparedado,AM,1,0,0
260,2444,emparedado,AM,1,0,0
261,2445,emparedado,AM,1,0,0
262,2447,emparedado,AM,1,0,0
263,2448,emparedado,AM,0,1,0
264,2400,gafas,AM,1,0,0
265,2401,gafas,AM,0,1,0
266,2402,gafas,AM,1,1,0
267,2403,gafas,AM,0,1,0
268,2405,gafas,AM,0,1,0
269,2406,gafas,AM,1,0,0
270,2407,gafas,AM,0,1,0
271,2408,gafas,AM,0,1,0
272,2409,gafas,AM,1,0,0
273,2410,gafas,AM,0,1,0
274,2411,gafas,AM,1,0,0
275,2412,gafas,AM,1,0,0
276,2413,gafas,AM,1,1,0
277,2414,gafas,AM,0,1,0
278,2419,gafas,AM,0,1,0
279,2420,gafas,AM,0,1,0
280,2421,gafas,AM,0,1,0
281,2424,gafas,AM,0,1,0
282,2426,gafas,AM,0,0,0
283,2427,gafas,AM,0,1,0
284,2428,gafas,AM,0,1,0
285,2429,gafas,AM,1,0,0
286,2430,gafas,AM,1,0,0
287,2431,gafas,AM,1,1,0
288,2432,gafas,AM,0,1,0
289,2433,gafas,AM,0,1,0
290,2434,gafas,AM,0,1,0
291,2435,gafas,AM,0,1,0
292,2436,gafas,AM,0,0,0
293,2438,gafas,AM,0,0,0
294,2440,gafas,AM,1,0,0
295,2441,gafas,AM,1,0,0
296,2442,gafas,AM,1,0,0
297,2443,gafas,AM,1,0,0
298,2444,gafas,AM,0,1,0
299,2445,gafas,AM,0,1,0
300,2447,gafas,AM,0,0,0
301,2448,gafas,AM,0,1,0
302,2400,liebre,AM,0,0,0
303,2401,liebre,AM,0,1,0
304,2402,liebre,AM,0,1,0
305,2403,liebre,AM,0,1,0
306,2405,liebre,AM,1,1,0
307,2406,liebre,AM,1,1,0
308,2407,liebre,AM,1,0,0
309,2408,liebre,AM,0,1,0
310,2409,liebre,AM,1,1,0
311,2410,liebre,AM,0,1,0
312,2411,liebre,AM,1,0,0
313,2412,liebre,AM,1,0,0
314,2413,liebre,AM,1,1,0
315,2414,liebre,AM,0,1,0
316,2419,liebre,AM,0,1,0
317,2420,liebre,AM,0,1,0
318,2421,liebre,AM,0,1,0
319,2424,liebre,AM,0,1,0
320,2426,liebre,AM,0,1,0
321,2427,liebre,AM,1,0,0
322,2428,liebre,AM,0,1,0
323,2429,liebre,AM,1,0,0
324,2430,liebre,AM,1,1,0
325,2431,liebre,AM,1,1,0
326,2432,liebre,AM,1,1,0
327,2433,liebre,AM,0,1,0
328,2434,liebre,AM,0,1,0
329,2435,liebre,AM,0,1,0
330,2436,liebre,AM,1,0,0
331,2438,liebre,AM,0,1,0
332,2440,liebre,AM,1,1,0
333,2441,liebre,AM,1,1,0
334,2442,liebre,AM,1,1,0
335,2443,liebre,AM,0,1,0
336,2444,liebre,AM,0,1,0
337,2445,liebre,AM,1,0,0
338,2447,liebre,AM,1,0,0
339,2448,liebre,AM,0,1,0
340,2400,mani,AM,1,1,0
341,2401,mani,AM,0,1,0
342,2402,mani,AM,0,1,0
343,2405,mani,AM,1,0,0
344,2406,mani,AM,1,1,0
345,2407,mani,AM,1,1,0
346,2408,mani,AM,0,1,0
347,2409,mani,AM,1,0,0
348,2410,mani,AM,0,1,0
349,2411,mani,AM,1,0,0
350,2412,mani,AM,1,0,0
351,2413,mani,AM,1,1,0
352,2414,mani,AM,0,1,0
353,2419,mani,AM,0,0,0
354,2420,mani,AM,0,1,0
355,2421,mani,AM,1,0,0
356,2424,mani,AM,1,1,0
357,2426,mani,AM,0,1,0
358,2427,mani,AM,0,1,0
359,2428,mani,AM,0,1,0
